coverage,id,name,category,standard,n_links,n_live,n_dead,n_unresolved,live_vendors,dead_vendors,projects,project_status,tabs,text_only_sources,dead_links,live_links
all_live,bowden.bowden-clip,Bowden Clip,Bowden,,1,1,0,0,AliExpress,,voron-m4 mobius-3.1,legacy,2,,,https://www.aliexpress.com/item/32892392365.html
all_live,bowden.bowden-fitting,Bowden Fitting,Bowden,,2,2,0,0,AliExpress,,voron-0.2 voron-m4 mobius-3.1 jetpack voron-0 voron-0.1,current legacy,6,,,https://s.click.aliexpress.com/e/_dZNWAU4 | https://www.aliexpress.com/item/32934148155.html
all_live,buildplate.aluminum-build-plate-mic6-atp-5-jig-plate-etc-5-16in-or-8mm-depending-on-whats-available-in-your-country.v2,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),Buildplate,,1,1,0,0,clever3d.de,,voron-2.4 voron-2.2,current legacy,2,,,https://clever3d.de/epages/7a4290fc-7c7f-46cc-9b99-eadef22228e2.sf/en_US?ObjectPath=%2FShops%2F7a4290fc-7c7f-46cc-9b99-eadef22228e2%2FProducts%2FAluGuss8mm
all_live,buildplate.aluminum-build-plate-mic6-atp-5-jig-plate-etc-5-16in-or-8mm-depending-on-whats-available-in-your-country.voron-trident,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),Buildplate,,2,2,0,0,clever3d.de | mandalaroseworks.com,,voron-trident,current,1,,,https://www.mandalaroseworks.com/shop/voron | https://clever3d.de/epages/7a4290fc-7c7f-46cc-9b99-eadef22228e2.sf/en_US?ObjectPath=%2FShops%2F7a4290fc-7c7f-46cc-9b99-eadef22228e2%2FProducts%2FAluGuss8mm
all_live,buildplate.aluminum-build-plate-mic6-atp-5-jig-plate-etc-5-16in-or-8mm-depending-on-whats-available-in-your-country.v1,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) (5/16in or 8mm depending on whats available in your country),Buildplate,,1,1,0,0,clever3d.de,,voron-1.8 voron-1.6.2,legacy,2,,,https://clever3d.de/epages/7a4290fc-7c7f-46cc-9b99-eadef22228e2.sf/en_US?ObjectPath=%2FShops%2F7a4290fc-7c7f-46cc-9b99-eadef22228e2%2FProducts%2FAluGuss8mm
all_live,buildplate.aluminum-build-plate-mic6-atp-5-jig-plate-etc-120x120mm-4-75inx4-75in-1-4in-or-6mm-depending-on-whats-available-in-your-country.v0,Aluminum Build Plate (MIC6/ATP-5/Jig Plate/etc) 120x120mm (4.75inx4.75in) (1/4in or 6mm depending on whats available in your country),Buildplate,,1,1,0,0,clever3d.de,,voron-0.2 voron-0 voron-0.1,current legacy,3,Local material supplier,,https://clever3d.de/epages/7a4290fc-7c7f-46cc-9b99-eadef22228e2.sf/en_US?ObjectPath=%2FShops%2F7a4290fc-7c7f-46cc-9b99-eadef22228e2%2FProducts%2FAluGuss8mm
all_live,buildplate.magnetic-sheet-pei-optional,Magnetic Sheet + PEI (optional),Buildplate,,1,1,0,0,AliExpress,,voron-2.4,current,1,,,https://www.aliexpress.com/item/2251832800625551.html
all_live,buildplate.magnetic-sheet-for-spring-steel-plate-120x120-optional,Magnetic sheet for spring steel plate 120x120 (OPTIONAL),Buildplate,,1,1,0,0,McMaster-Carr,,voron-0.2 voron-0.1,current legacy,2,,,https://www.mcmaster.com/7301T21/
all_live,buildplate.prusa-mk3-y-carrier,Prusa MK3 Y Carrier,Buildplate,,2,2,0,0,AliExpress | Printed Solid,,voron-switchwire,current,1,X,,https://s.click.aliexpress.com/e/_d7QoTpE | https://www.printedsolid.com/products/ldo-y-carriage-for-mk3?variant=32431285043285
all_live,buildplate.prusa-mk52-heated-bed-24v,Prusa MK52 Heated Bed - 24V,Buildplate,,1,1,0,0,AliExpress,,voron-switchwire,current,1,X,,https://s.click.aliexpress.com/e/_dVSICze
